areaCode,areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths28DaysByDeathDate,newCasesBySpecimenDate
E06000014,York,ltla,2021-10-31,25553,347,39
E06000014,York,ltla,2021-10-30,25514,347,75
E06000014,York,ltla,2021-10-29,25439,347,150
E06000014,York,ltla,2021-10-28,25289,347,163
E06000014,York,ltla,2021-10-27,25126,347,117
E06000014,York,ltla,2021-10-26,25009,347,146
E06000014,York,ltla,2021-10-25,24863,347,149
E06000014,York,ltla,2021-10-24,24714,346,116
E06000014,York,ltla,2021-10-23,24598,346,115
E06000014,York,ltla,2021-10-22,24483,346,131
E06000014,York,ltla,2021-10-21,24352,346,123
E06000014,York,ltla,2021-10-20,24229,346,164
E06000014,York,ltla,2021-10-19,24065,346,152
E06000014,York,ltla,2021-10-18,23913,346,142
E06000014,York,ltla,2021-10-17,23771,346,101
E06000014,York,ltla,2021-10-16,23670,345,82
E06000014,York,ltla,2021-10-15,23588,345,107
E06000014,York,ltla,2021-10-14,23481,345,108
E06000014,York,ltla,2021-10-13,23373,343,107
E06000014,York,ltla,2021-10-12,23266,342,100
E06000014,York,ltla,2021-10-11,23166,342,109
E06000014,York,ltla,2021-10-10,23057,342,79
E06000014,York,ltla,2021-10-09,22978,342,72
E06000014,York,ltla,2021-10-08,22906,342,87
E06000014,York,ltla,2021-10-07,22819,342,89
E06000014,York,ltla,2021-10-06,22730,342,83
E06000014,York,ltla,2021-10-05,22647,342,67
E06000014,York,ltla,2021-10-04,22580,342,92
E06000014,York,ltla,2021-10-03,22488,342,66
E06000014,York,ltla,2021-10-02,22422,341,46
E06000014,York,ltla,2021-10-01,22376,341,61
E06000014,York,ltla,2021-09-30,22315,341,70
E06000014,York,ltla,2021-09-29,22245,341,80
E06000014,York,ltla,2021-09-28,22165,340,75
E06000014,York,ltla,2021-09-27,22090,339,93
E06000014,York,ltla,2021-09-26,21997,339,69
E06000014,York,ltla,2021-09-25,21928,339,56
E06000014,York,ltla,2021-09-24,21872,339,63
E06000014,York,ltla,2021-09-23,21809,339,61
E06000014,York,ltla,2021-09-22,21748,339,88
E06000014,York,ltla,2021-09-21,21660,338,82
E06000014,York,ltla,2021-09-20,21578,337,87
E06000014,York,ltla,2021-09-19,21491,337,63
E06000014,York,ltla,2021-09-18,21428,336,56
E06000014,York,ltla,2021-09-17,21372,336,41
E06000014,York,ltla,2021-09-16,21331,335,68
E06000014,York,ltla,2021-09-15,21263,335,58
E06000014,York,ltla,2021-09-14,21205,335,43
E06000014,York,ltla,2021-09-13,21162,335,49
E06000014,York,ltla,2021-09-12,21113,335,44
E06000014,York,ltla,2021-09-11,21069,335,46
E06000014,York,ltla,2021-09-10,21023,335,59
E06000014,York,ltla,2021-09-09,20964,335,69
E06000014,York,ltla,2021-09-08,20895,335,49
E06000014,York,ltla,2021-09-07,20846,335,72
E06000014,York,ltla,2021-09-06,20774,334,93
E06000014,York,ltla,2021-09-05,20681,334,46
E06000014,York,ltla,2021-09-04,20635,334,67
E06000014,York,ltla,2021-09-03,20568,334,70
E06000014,York,ltla,2021-09-02,20498,334,73
E06000014,York,ltla,2021-09-01,20425,334,93
E06000014,York,ltla,2021-08-31,20332,333,105
E06000014,York,ltla,2021-08-30,20227,331,89
E06000014,York,ltla,2021-08-29,20138,331,72
E06000014,York,ltla,2021-08-28,20066,331,65
E06000014,York,ltla,2021-08-27,20001,331,66
E06000014,York,ltla,2021-08-26,19935,329,90
E06000014,York,ltla,2021-08-25,19845,329,84
E06000014,York,ltla,2021-08-24,19761,329,82
E06000014,York,ltla,2021-08-23,19679,329,99
E06000014,York,ltla,2021-08-22,19580,328,87
E06000014,York,ltla,2021-08-21,19493,328,55
E06000014,York,ltla,2021-08-20,19438,327,79
E06000014,York,ltla,2021-08-19,19359,327,107
E06000014,York,ltla,2021-08-18,19252,327,134
E06000014,York,ltla,2021-08-17,19118,326,91
E06000014,York,ltla,2021-08-16,19027,325,111
E06000014,York,ltla,2021-08-15,18916,325,77
E06000014,York,ltla,2021-08-14,18839,325,83
E06000014,York,ltla,2021-08-13,18756,325,102
E06000014,York,ltla,2021-08-12,18654,325,125
E06000014,York,ltla,2021-08-11,18529,325,78
E06000014,York,ltla,2021-08-10,18451,322,97
E06000014,York,ltla,2021-08-09,18354,322,119
E06000014,York,ltla,2021-08-08,18235,321,72
E06000014,York,ltla,2021-08-07,18163,321,87
E06000014,York,ltla,2021-08-06,18076,320,103
E06000014,York,ltla,2021-08-05,17973,319,99
E06000014,York,ltla,2021-08-04,17874,319,121
E06000014,York,ltla,2021-08-03,17753,319,130
E06000014,York,ltla,2021-08-02,17623,319,127
E06000014,York,ltla,2021-08-01,17496,318,66
E06000014,York,ltla,2021-07-31,17430,318,65
E06000014,York,ltla,2021-07-30,17365,318,69
E06000014,York,ltla,2021-07-29,17296,318,64
E06000014,York,ltla,2021-07-28,17232,318,95
E06000014,York,ltla,2021-07-27,17137,318,79
E06000014,York,ltla,2021-07-26,17058,318,114
E06000014,York,ltla,2021-07-25,16944,318,54
E06000014,York,ltla,2021-07-24,16890,318,57
E06000014,York,ltla,2021-07-23,16833,318,60
E06000014,York,ltla,2021-07-22,16773,318,66
E06000014,York,ltla,2021-07-21,16707,318,88
E06000014,York,ltla,2021-07-20,16619,318,97
E06000014,York,ltla,2021-07-19,16522,318,130
E06000014,York,ltla,2021-07-18,16392,317,93
E06000014,York,ltla,2021-07-17,16299,317,103
E06000014,York,ltla,2021-07-16,16196,317,175
E06000014,York,ltla,2021-07-15,16021,317,188
E06000014,York,ltla,2021-07-14,15833,317,152
E06000014,York,ltla,2021-07-13,15681,316,131
E06000014,York,ltla,2021-07-12,15550,316,189
E06000014,York,ltla,2021-07-11,15361,316,132
E06000014,York,ltla,2021-07-10,15229,316,101
E06000014,York,ltla,2021-07-09,15128,316,111
E06000014,York,ltla,2021-07-08,15017,316,110
E06000014,York,ltla,2021-07-07,14907,316,148
E06000014,York,ltla,2021-07-06,14759,316,155
E06000014,York,ltla,2021-07-05,14604,316,124
E06000014,York,ltla,2021-07-04,14480,315,114
E06000014,York,ltla,2021-07-03,14366,315,117
E06000014,York,ltla,2021-07-02,14249,315,105
E06000014,York,ltla,2021-07-01,14144,315,119
E06000014,York,ltla,2021-06-30,14025,315,128
E06000014,York,ltla,2021-06-29,13897,315,131
E06000014,York,ltla,2021-06-28,13766,315,158
E06000014,York,ltla,2021-06-27,13608,315,124
E06000014,York,ltla,2021-06-26,13484,315,95
E06000014,York,ltla,2021-06-25,13389,315,121
E06000014,York,ltla,2021-06-24,13268,315,99
E06000014,York,ltla,2021-06-23,13169,315,84
E06000014,York,ltla,2021-06-22,13085,315,84
E06000014,York,ltla,2021-06-21,13001,315,85
E06000014,York,ltla,2021-06-20,12916,315,58
E06000014,York,ltla,2021-06-19,12858,315,51
E06000014,York,ltla,2021-06-18,12807,315,49
E06000014,York,ltla,2021-06-17,12758,315,49
E06000014,York,ltla,2021-06-16,12709,315,35
E06000014,York,ltla,2021-06-15,12674,315,33
E06000014,York,ltla,2021-06-14,12641,315,32
E06000014,York,ltla,2021-06-13,12609,315,19
E06000014,York,ltla,2021-06-12,12590,315,23
E06000014,York,ltla,2021-06-11,12567,315,26
E06000014,York,ltla,2021-06-10,12541,315,22
E06000014,York,ltla,2021-06-09,12519,315,21
E06000014,York,ltla,2021-06-08,12498,315,23
E06000014,York,ltla,2021-06-07,12475,315,21
E06000014,York,ltla,2021-06-06,12454,315,7
E06000014,York,ltla,2021-06-05,12447,315,13
E06000014,York,ltla,2021-06-04,12434,315,10
E06000014,York,ltla,2021-06-03,12424,315,13
E06000014,York,ltla,2021-06-02,12411,315,10
E06000014,York,ltla,2021-06-01,12401,315,8
E06000014,York,ltla,2021-05-31,12393,315,4
E06000014,York,ltla,2021-05-30,12389,315,7
E06000014,York,ltla,2021-05-29,12382,315,11
E06000014,York,ltla,2021-05-28,12371,315,8
E06000014,York,ltla,2021-05-27,12363,315,12
E06000014,York,ltla,2021-05-26,12351,315,4
E06000014,York,ltla,2021-05-25,12347,315,9
E06000014,York,ltla,2021-05-24,12338,315,5
E06000014,York,ltla,2021-05-23,12333,315,3
E06000014,York,ltla,2021-05-22,12330,315,3
E06000014,York,ltla,2021-05-21,12327,315,9
E06000014,York,ltla,2021-05-20,12318,315,6
E06000014,York,ltla,2021-05-19,12312,315,4
E06000014,York,ltla,2021-05-18,12308,315,2
E06000014,York,ltla,2021-05-17,12306,315,4
E06000014,York,ltla,2021-05-16,12302,315,3
E06000014,York,ltla,2021-05-15,12299,315,4
E06000014,York,ltla,2021-05-14,12295,315,3
E06000014,York,ltla,2021-05-13,12292,315,3
E06000014,York,ltla,2021-05-12,12289,315,5
E06000014,York,ltla,2021-05-11,12284,315,7
E06000014,York,ltla,2021-05-10,12277,315,2
E06000014,York,ltla,2021-05-09,12275,315,4
E06000014,York,ltla,2021-05-08,12271,315,4
E06000014,York,ltla,2021-05-07,12267,315,9
E06000014,York,ltla,2021-05-06,12258,315,5
E06000014,York,ltla,2021-05-05,12253,315,5
E06000014,York,ltla,2021-05-04,12248,315,4
E06000014,York,ltla,2021-05-03,12244,315,4
E06000014,York,ltla,2021-05-02,12240,315,3
E06000014,York,ltla,2021-05-01,12237,315,2
E06000014,York,ltla,2021-04-30,12235,315,3
E06000014,York,ltla,2021-04-29,12232,315,7
E06000014,York,ltla,2021-04-28,12225,315,8
E06000014,York,ltla,2021-04-27,12217,315,0
E06000014,York,ltla,2021-04-26,12217,315,11
E06000014,York,ltla,2021-04-25,12206,315,5
E06000014,York,ltla,2021-04-24,12201,315,5
E06000014,York,ltla,2021-04-23,12196,315,6
E06000014,York,ltla,2021-04-22,12190,315,10
E06000014,York,ltla,2021-04-21,12180,315,3
E06000014,York,ltla,2021-04-20,12177,315,8
E06000014,York,ltla,2021-04-19,12169,315,8
E06000014,York,ltla,2021-04-18,12161,315,1
E06000014,York,ltla,2021-04-17,12160,315,6
E06000014,York,ltla,2021-04-16,12154,315,9
E06000014,York,ltla,2021-04-15,12145,315,5
E06000014,York,ltla,2021-04-14,12140,314,0
E06000014,York,ltla,2021-04-13,12140,314,7
E06000014,York,ltla,2021-04-12,12133,314,1
E06000014,York,ltla,2021-04-11,12132,314,2
E06000014,York,ltla,2021-04-10,12130,314,2
E06000014,York,ltla,2021-04-09,12128,314,3
E06000014,York,ltla,2021-04-08,12125,314,10
E06000014,York,ltla,2021-04-07,12115,314,3
E06000014,York,ltla,2021-04-06,12112,314,3
E06000014,York,ltla,2021-04-05,12109,314,0
E06000014,York,ltla,2021-04-04,12109,314,1
E06000014,York,ltla,2021-04-03,12108,314,1
E06000014,York,ltla,2021-04-02,12107,314,10
E06000014,York,ltla,2021-04-01,12097,314,1
E06000014,York,ltla,2021-03-31,12096,314,3
E06000014,York,ltla,2021-03-30,12093,313,7
E06000014,York,ltla,2021-03-29,12086,313,1
E06000014,York,ltla,2021-03-28,12085,313,5
E06000014,York,ltla,2021-03-27,12080,313,7
E06000014,York,ltla,2021-03-26,12073,313,4
E06000014,York,ltla,2021-03-25,12069,313,13
E06000014,York,ltla,2021-03-24,12056,313,7
E06000014,York,ltla,2021-03-23,12049,313,7
E06000014,York,ltla,2021-03-22,12042,313,12
E06000014,York,ltla,2021-03-21,12030,312,10
E06000014,York,ltla,2021-03-20,12020,312,6
E06000014,York,ltla,2021-03-19,12014,312,8
E06000014,York,ltla,2021-03-18,12006,312,10
E06000014,York,ltla,2021-03-17,11996,312,6
E06000014,York,ltla,2021-03-16,11990,311,13
E06000014,York,ltla,2021-03-15,11977,310,9
E06000014,York,ltla,2021-03-14,11968,310,8
E06000014,York,ltla,2021-03-13,11960,309,7
E06000014,York,ltla,2021-03-12,11953,309,8
E06000014,York,ltla,2021-03-11,11945,309,10
E06000014,York,ltla,2021-03-10,11935,309,7
E06000014,York,ltla,2021-03-09,11928,309,12
E06000014,York,ltla,2021-03-08,11916,309,19
E06000014,York,ltla,2021-03-07,11897,309,12
E06000014,York,ltla,2021-03-06,11885,308,14
E06000014,York,ltla,2021-03-05,11871,307,12
E06000014,York,ltla,2021-03-04,11859,307,14
E06000014,York,ltla,2021-03-03,11845,307,7
E06000014,York,ltla,2021-03-02,11838,306,12
E06000014,York,ltla,2021-03-01,11826,306,21
E06000014,York,ltla,2021-02-28,11805,306,9
E06000014,York,ltla,2021-02-27,11796,306,11
E06000014,York,ltla,2021-02-26,11785,305,14
E06000014,York,ltla,2021-02-25,11771,305,16
E06000014,York,ltla,2021-02-24,11755,305,18
E06000014,York,ltla,2021-02-23,11737,305,22
E06000014,York,ltla,2021-02-22,11715,304,18
E06000014,York,ltla,2021-02-21,11697,303,18
E06000014,York,ltla,2021-02-20,11679,302,24
E06000014,York,ltla,2021-02-19,11655,301,26
E06000014,York,ltla,2021-02-18,11629,300,25
E06000014,York,ltla,2021-02-17,11604,298,29
E06000014,York,ltla,2021-02-16,11575,297,15
E06000014,York,ltla,2021-02-15,11560,297,21
E06000014,York,ltla,2021-02-14,11539,296,12
E06000014,York,ltla,2021-02-13,11527,292,21
E06000014,York,ltla,2021-02-12,11506,286,18
E06000014,York,ltla,2021-02-11,11488,283,24
E06000014,York,ltla,2021-02-10,11464,281,22
E06000014,York,ltla,2021-02-09,11442,279,32
E06000014,York,ltla,2021-02-08,11410,277,34
E06000014,York,ltla,2021-02-07,11376,276,25
E06000014,York,ltla,2021-02-06,11351,276,23
E06000014,York,ltla,2021-02-05,11328,273,32
E06000014,York,ltla,2021-02-04,11296,272,39
E06000014,York,ltla,2021-02-03,11257,267,40
E06000014,York,ltla,2021-02-02,11217,264,38
E06000014,York,ltla,2021-02-01,11179,261,55
E06000014,York,ltla,2021-01-31,11124,259,52
E06000014,York,ltla,2021-01-30,11072,255,35
E06000014,York,ltla,2021-01-29,11037,253,39
E06000014,York,ltla,2021-01-28,10998,251,55
E06000014,York,ltla,2021-01-27,10943,249,63
E06000014,York,ltla,2021-01-26,10880,243,56
E06000014,York,ltla,2021-01-25,10824,241,79
E06000014,York,ltla,2021-01-24,10745,233,46
E06000014,York,ltla,2021-01-23,10699,228,49
E06000014,York,ltla,2021-01-22,10650,227,65
E06000014,York,ltla,2021-01-21,10585,223,71
E06000014,York,ltla,2021-01-20,10514,222,83
E06000014,York,ltla,2021-01-19,10431,220,99
E06000014,York,ltla,2021-01-18,10332,210,128
E06000014,York,ltla,2021-01-17,10204,208,73
E06000014,York,ltla,2021-01-16,10131,201,84
E06000014,York,ltla,2021-01-15,10047,198,106
E06000014,York,ltla,2021-01-14,9941,193,123
E06000014,York,ltla,2021-01-13,9818,190,132
E06000014,York,ltla,2021-01-12,9686,186,142
E06000014,York,ltla,2021-01-11,9544,183,198
E06000014,York,ltla,2021-01-10,9346,179,108
E06000014,York,ltla,2021-01-09,9238,173,150
E06000014,York,ltla,2021-01-08,9088,173,172
E06000014,York,ltla,2021-01-07,8916,172,180
E06000014,York,ltla,2021-01-06,8736,171,209
E06000014,York,ltla,2021-01-05,8527,170,208
E06000014,York,ltla,2021-01-04,8319,169,245
E06000014,York,ltla,2021-01-03,8074,167,221
E06000014,York,ltla,2021-01-02,7853,167,178
E06000014,York,ltla,2021-01-01,7675,164,102
E06000014,York,ltla,2020-12-31,7573,164,157
E06000014,York,ltla,2020-12-30,7416,162,193
E06000014,York,ltla,2020-12-29,7223,161,226
E06000014,York,ltla,2020-12-28,6997,157,134
E06000014,York,ltla,2020-12-27,6863,156,134
E06000014,York,ltla,2020-12-26,6729,155,105
E06000014,York,ltla,2020-12-25,6624,155,35
E06000014,York,ltla,2020-12-24,6589,153,82
E06000014,York,ltla,2020-12-23,6507,152,89
E06000014,York,ltla,2020-12-22,6418,151,103
E06000014,York,ltla,2020-12-21,6315,149,82
E06000014,York,ltla,2020-12-20,6233,147,67
E06000014,York,ltla,2020-12-19,6166,146,41
E06000014,York,ltla,2020-12-18,6125,146,43
E06000014,York,ltla,2020-12-17,6082,145,34
E06000014,York,ltla,2020-12-16,6048,144,42
E06000014,York,ltla,2020-12-15,6006,143,48
E06000014,York,ltla,2020-12-14,5958,143,26
E06000014,York,ltla,2020-12-13,5932,143,31
E06000014,York,ltla,2020-12-12,5901,142,18
E06000014,York,ltla,2020-12-11,5883,141,20
E06000014,York,ltla,2020-12-10,5863,141,14
E06000014,York,ltla,2020-12-09,5849,141,25
E06000014,York,ltla,2020-12-08,5824,141,14
E06000014,York,ltla,2020-12-07,5810,141,24
E06000014,York,ltla,2020-12-06,5786,140,20
E06000014,York,ltla,2020-12-05,5766,137,21
E06000014,York,ltla,2020-12-04,5745,135,13
E06000014,York,ltla,2020-12-03,5732,134,12
E06000014,York,ltla,2020-12-02,5720,133,18
E06000014,York,ltla,2020-12-01,5702,133,51
E06000014,York,ltla,2020-11-30,5651,132,21
E06000014,York,ltla,2020-11-29,5630,128,13
E06000014,York,ltla,2020-11-28,5617,128,18
E06000014,York,ltla,2020-11-27,5599,128,16
E06000014,York,ltla,2020-11-26,5583,128,25
E06000014,York,ltla,2020-11-25,5558,127,18
E06000014,York,ltla,2020-11-24,5540,126,26
E06000014,York,ltla,2020-11-23,5514,126,31
E06000014,York,ltla,2020-11-22,5483,125,30
E06000014,York,ltla,2020-11-21,5453,124,30
E06000014,York,ltla,2020-11-20,5423,124,46
E06000014,York,ltla,2020-11-19,5377,123,29
E06000014,York,ltla,2020-11-18,5348,122,31
E06000014,York,ltla,2020-11-17,5317,121,48
E06000014,York,ltla,2020-11-16,5269,121,52
E06000014,York,ltla,2020-11-15,5217,121,42
E06000014,York,ltla,2020-11-14,5175,120,28
E06000014,York,ltla,2020-11-13,5147,120,58
E06000014,York,ltla,2020-11-12,5089,120,41
E06000014,York,ltla,2020-11-11,5048,120,54
E06000014,York,ltla,2020-11-10,4994,119,73
E06000014,York,ltla,2020-11-09,4921,118,68
E06000014,York,ltla,2020-11-08,4853,118,38
E06000014,York,ltla,2020-11-07,4815,117,39
E06000014,York,ltla,2020-11-06,4776,117,51
