hour,susceptible,exposed,infected,hospitalized,recovered,deceased
0,198050,0,1,0,0,0.0
1,198050,0,1,0,0,0.0
2,198050,0,1,0,0,0.0
3,198050,0,1,0,0,0.0
4,198050,0,1,0,0,0.0
5,198050,0,1,0,0,0.0
6,198050,0,1,0,0,0.0
7,198050,0,1,0,0,0.0
8,198050,0,1,0,0,0.0
9,198050,0,1,0,0,0.0
10,198050,0,1,0,0,0.0
11,198050,0,1,0,0,0.0
12,198050,0,1,0,0,0.0
13,198050,0,1,0,0,0.0
14,198050,0,1,0,0,0.0
15,198050,0,1,0,0,0.0
16,198050,0,1,0,0,0.0
17,198050,0,1,0,0,0.0
18,198050,0,1,0,0,0.0
19,198050,0,1,0,0,0.0
20,198050,0,1,0,0,0.0
21,198050,0,1,0,0,0.0
22,198050,0,1,0,0,0.0
23,198050,0,1,0,0,0.0
24,198050,0,0,0,0,0.0
25,198050,0,0,0,0,0.0
26,198050,0,0,0,0,0.0
27,198050,0,0,0,0,0.0
28,198050,0,0,0,0,0.0
29,198050,0,0,0,0,0.0
30,198050,0,0,0,0,0.0
31,198050,0,0,0,0,0.0
32,198050,0,0,0,0,0.0
33,198050,0,0,0,0,0.0
34,198050,0,0,0,0,0.0
35,198050,0,0,0,0,0.0
36,198050,0,0,0,0,0.0
37,198050,0,0,0,0,0.0
38,198050,0,0,0,0,0.0
39,198050,0,0,0,0,0.0
40,198050,0,0,0,0,0.0
41,198050,0,0,0,0,0.0
42,198050,0,0,0,0,0.0
43,198050,0,0,0,0,0.0
44,198050,0,0,0,0,0.0
45,198050,0,0,0,0,0.0
46,198050,0,0,0,0,0.0
47,198050,0,0,0,0,0.0
48,198050,0,0,0,0,0.0
49,198050,0,0,0,0,0.0
50,198050,0,0,0,0,0.0
51,198050,0,0,0,0,0.0
52,198050,0,0,0,0,0.0
53,198050,0,0,0,0,0.0
54,198050,0,0,0,0,0.0
55,198050,0,0,0,0,0.0
56,198050,0,0,0,0,0.0
57,198050,0,0,0,0,0.0
58,198050,0,0,0,0,0.0
59,198050,0,0,0,0,0.0
60,198050,0,0,0,0,0.0
61,198050,0,0,0,0,0.0
62,198050,0,0,0,0,0.0
63,198050,0,0,0,0,0.0
64,198050,0,0,0,0,0.0
65,198050,0,0,0,0,0.0
66,198050,0,0,0,0,0.0
67,198050,0,0,0,0,0.0
68,198050,0,0,0,0,0.0
69,198050,0,0,0,0,0.0
70,198050,0,0,0,0,0.0
71,198050,0,0,0,0,0.0
72,198050,0,0,0,0,0.0
73,198050,0,0,0,0,0.0
74,198050,0,0,0,0,0.0
75,198050,0,0,0,0,0.0
76,198050,0,0,0,0,0.0
77,198050,0,0,0,0,0.0
78,198050,0,0,0,0,0.0
79,198050,0,0,0,0,0.0
80,198050,0,0,0,0,0.0
81,198050,0,0,0,0,0.0
82,198050,0,0,0,0,0.0
83,198050,0,0,0,0,0.0
84,198050,0,0,0,0,0.0
85,198050,0,0,0,0,0.0
86,198050,0,0,0,0,0.0
87,198050,0,0,0,0,0.0
88,198050,0,0,0,0,0.0
89,198050,0,0,0,0,0.0
90,198050,0,0,0,0,0.0
91,198050,0,0,0,0,0.0
92,198050,0,0,0,0,0.0
93,198050,0,0,0,0,0.0
94,198050,0,0,0,0,0.0
95,198050,0,0,0,0,0.0
96,198050,0,0,0,0,0.0
97,198050,0,0,0,0,0.0
98,198050,0,0,0,0,0.0
99,198050,0,0,0,0,0.0
100,198050,0,0,0,0,0.0
101,198050,0,0,0,0,0.0
102,198050,0,0,0,0,0.0
103,198050,0,0,0,0,0.0
104,198050,0,0,0,0,0.0
105,198050,0,0,0,0,0.0
106,198050,0,0,0,0,0.0
107,198050,0,0,0,0,0.0
108,198050,0,0,0,0,0.0
109,198050,0,0,0,0,0.0
110,198050,0,0,0,0,0.0
111,198050,0,0,0,0,0.0
112,198050,0,0,0,0,0.0
113,198050,0,0,0,0,0.0
114,198050,0,0,0,0,0.0
115,198050,0,0,0,0,0.0
116,198050,0,0,0,0,0.0
117,198050,0,0,0,0,0.0
118,198050,0,0,0,0,0.0
119,198050,0,0,0,0,0.0
120,198050,0,0,0,0,0.0
121,198050,0,0,0,0,0.0
122,198050,0,0,0,0,0.0
123,198050,0,0,0,0,0.0
124,198050,0,0,0,0,0.0
125,198050,0,0,0,0,0.0
126,198050,0,0,0,0,0.0
127,198050,0,0,0,0,0.0
128,198050,0,0,0,0,0.0
129,198050,0,0,0,0,0.0
130,198050,0,0,0,0,0.0
131,198050,0,0,0,0,0.0
132,198050,0,0,0,0,0.0
133,198050,0,0,0,0,0.0
